date,open,high,low,close,volume
2017-01-03,35.0084,35.4829,34.4661,34.7566,6535008
2017-01-04,34.9115,35.5507,34.8147,35.4732,7255928
2017-01-05,35.2602,36.1995,35.2505,35.8218,11583171
2017-01-06,35.5507,36.5336,34.8244,36.3351,12350244
2017-01-09,36.3835,36.461,35.8122,35.8218,7406908
2017-01-10,35.725,36.3835,35.6185,36.2383,8163501
2017-01-11,36.1414,36.9065,36.1414,36.8387,9882619
2017-01-12,36.8581,37.1776,36.6063,37.1679,8134467
2017-01-13,37.0033,37.594,36.8968,37.5747,13828079
2017-01-17,37.5263,37.5747,36.6692,36.8871,18270995
2017-01-18,35.3861,36.2189,35.0665,35.7153,20660656
2017-01-19,41.8648,44.1696,41.3128,44.0728,98506114
2017-01-20,43.0947,43.2884,41.521,42.93,45342351
2017-01-23,43.2496,44.6151,43.1525,44.5376,23485053
2017-01-24,44.4408,45.7869,44.4117,45.2155,16824563
2017-01-25,45.7481,46.3292,45.4189,46.2808,18040044
2017-01-26,46.2808,47.5785,46.058,47.0652,18203048
2017-01-27,47.2879,47.3848,46.1646,46.5422,12813125
2017-01-30,46.2905,46.5713,45.2494,45.9902,15181303
2017-01-31,45.4867,45.9902,44.6054,44.925,17976347
2017-02-01,45.0799,45.6997,44.9444,45.6029,11808919
2017-02-02,45.2155,45.4382,44.6441,44.8475,10377199
2017-02-03,44.7797,45.477,44.7022,45.3124,8474918
2017-02-06,45.0799,45.7675,45.0695,45.7675,8877459
2017-02-07,45.7772,46.765,45.7772,46.1742,14773744
2017-02-08,46.0774,46.5422,45.477,46.4454,8601313
2017-02-09,46.581,46.6294,46.029,46.242,6108289
2017-02-10,46.9684,47.3848,45.9128,46.2614,15428519
2017-02-13,46.5907,46.9199,46.2453,46.397,6695755
2017-02-14,46.1258,46.6875,46.1161,46.4841,6407422
2017-02-15,45.506,46.334,45.2833,45.845,12546927
2017-02-16,46.0193,46.2033,44.7604,46.1839,17713954
2017-02-17,46.029,47.0942,45.9902,47.0071,11766424
2017-02-21,46.9974,47.4526,46.9006,47.3654,8221536
2017-02-22,47.2492,47.2492,46.5132,46.8618,8314723
2017-02-23,47.0458,47.1628,46.0484,46.397,8500728
2017-02-24,46.2901,47.1358,46.2415,47.126,8378555
2017-02-27,46.9316,47.4423,46.6497,47.3496,8619027
2017-02-28,48.0495,48.2148,47.0191,47.2038,8033008
2017-03-01,47.8259,48.3994,47.787,47.8356,9461500
2017-03-02,47.8356,47.8843,47.1163,47.2038,8222346
2017-03-03,47.1649,48.2439,46.883,48.0981,11631146
2017-03-06,47.7482,48.5453,47.5926,48.3994,11810556
2017-03-07,48.312,48.9049,47.024,47.0872,17913905
2017-03-08,46.9608,47.3107,46.1928,46.3192,11796486
2017-03-09,46.3484,46.8636,46.154,46.2512,10637109
