ticker,company,date,movement,headline
GOOG,Alphabet Inc,20190225,-10.25,HERE expands mapping services to China with Navinfo partnership 
GOOG,Alphabet Inc,20190221,-9.94,AT&T pulls ads from YouTube as concerns about content resurface 
GOOG,Alphabet Inc,20190221,-9.94,Google fails to disclose microphone in Nest Secure 
GOOG,Alphabet Inc,20190221,-9.94,UPDATE 1-Google fails to disclose microphone in Nest Secure 
GOOG,Alphabet Inc,20190220,-9.15,Samsung announces Galaxy Fold phone with apps from Facebook  Google 
GOOG,Alphabet Inc,20190220,-9.15,Google fails to disclose microphone in Nest Secure 
GOOG,Alphabet Inc,20190219,9.99,Google to buy data migration company Alooma in cloud push 
GOOG,Alphabet Inc,20190214,12.03,UPDATE 3-Newer businesses drive Cisco's earnings beat; shares rise 
GOOG,Alphabet Inc,20190213,-6.94,Apple ramps up self-driving program as Waymo says its tech improves 
GOOG,Alphabet Inc,20190213,-6.94,Google to spend over $13 billion on U.S. data centers  offices 
GOOG,Alphabet Inc,20190213,-6.94,UPDATE 1-Google to spend over $13 bln on U.S. data centers  offices 
GOOG,Alphabet Inc,20190205,14.73,Alphabet's higher spending worries investors  shares dip 
GOOG,Alphabet Inc,20190205,14.73,UPDATE 1-Renault-Nissan alliance  Google to partner on self-driving cars - Nikkei 
GOOG,Alphabet Inc,20190205,14.73,Renault-Nissan alliance  Google to partner on self-driving cars - Nikkei 
GOOG,Alphabet Inc,20190205,14.73,UPDATE 3-Alphabet's higher spending worries investors  shares dip 
GOOG,Alphabet Inc,20190204,12.18,UPDATE 2-Alphabet beats Wall St estimates  but spending worries investors 
GOOG,Alphabet Inc,20190204,12.18,Alphabet fourth-quarter revenue  profit beat estimates 
GOOG,Alphabet Inc,20190204,12.18,US STOCKS-Tech boosts S&P  Nasdaq; healthcare weighs on Dow 
GOOG,Alphabet Inc,20190204,12.18,US STOCKS-Wall Street flat as tech boost offset by lower oil prices 
GOOG,Alphabet Inc,20190204,12.18,US STOCKS-Wall Street set to open flat with Alphabet results on tap 
GOOG,Alphabet Inc,20190204,12.18,CORRECTED-US STOCKS-Futures eke out gains ahead of Alphabet results 
GOOGL,Alphabet Inc,20190401,12.51,RPT-FOCUS-When it comes to disclosing sponsors  your Google Assistant may be mute 
GOOGL,Alphabet Inc,20190328,4.68,UPDATE 1-Google  Cuba agree to work toward improving island's connectivity 
GOOGL,Alphabet Inc,20190328,4.68,Google  Cuba agree to work towards improving island's connectivity 
GOOGL,Alphabet Inc,20190327,-16.42,Google to announce deal with Cuba on improving connectivity: source 
GOOGL,Alphabet Inc,20190327,-16.42,Google to announce deal with Cuba on improving connectivity -source 
GOOGL,Alphabet Inc,20190325,5.63,French Muslim group sues Facebook  Youtube over Christchurch footage streaming 
GOOGL,Alphabet Inc,20190325,5.63,Study shows limited control over privacy breaches by pre-installed Android apps 
GOOGL,Alphabet Inc,20190321,8.85,Lithuanian pleads guilty in U.S. to massive fraud against Google  Facebook 
GOOGL,Alphabet Inc,20190320,18.6,Lithuanian pleads guilty in U.S. to massive fraud against Google  Facebook 
GOOGL,Alphabet Inc,20190320,18.6,U.S. lawmaker says tech companies must quickly remove violent content after New Zealand 
GOOGL,Alphabet Inc,20190320,18.6,UPDATE 1-U.S. lawmaker says tech companies must quickly remove violent content after New Zealand 
GOOGL,Alphabet Inc,20190314,-1.02,Google's work in China benefiting China's military: U.S. general 
GOOGL,Alphabet Inc,20190314,-1.02,UPDATE 2-Google's work in China benefiting China's military -U.S. general 
GOOGL,Alphabet Inc,20190314,-1.02,Google's work in China indirectly benefiting Chinese military: US general 
GOOGL,Alphabet Inc,20190311,30.3,Alphabet's Waymo seeks outside investors: The Information 
GOOGL,Alphabet Inc,20190311,30.3,Alphabet's Waymo seeks outside investors - The Information 
GOOGL,Alphabet Inc,20190311,30.3,Green paradise or data-stealing dystopia? Toronto smart city sparks debate 
GOOGL,Alphabet Inc,20190311,30.3,FEATURE-Green paradise or data-stealing dystopia? Toronto smart city sparks debate 
GOOGL,Alphabet Inc,20190307,-26.6,UPDATE 1-Xerox restructures business to create holding company 
GOOGL,Alphabet Inc,20190228,12.0,Google workers support proposed U.S. laws to curb mandatory arbitration 
GOOGL,Alphabet Inc,20190228,12.0,YouTube disables comments on videos featuring minors 
GOOGL,Alphabet Inc,20190228,12.0,YouTube disables comments on videos featuring minors 
GOOGL,Alphabet Inc,20190225,-7.56,HERE expands mapping services to China with Navinfo partnership 
GOOGL,Alphabet Inc,20190221,-9.08,AT&T pulls ads from YouTube as concerns about content resurface 
GOOGL,Alphabet Inc,20190221,-9.08,Google fails to disclose microphone in Nest Secure 
GOOGL,Alphabet Inc,20190221,-9.08,UPDATE 1-Google fails to disclose microphone in Nest Secure 
GOOGL,Alphabet Inc,20190220,-10.1,Samsung announces Galaxy Fold phone with apps from Facebook  Google 
GOOGL,Alphabet Inc,20190220,-10.1,Google fails to disclose microphone in Nest Secure 
GOOGL,Alphabet Inc,20190219,12.24,Google to buy data migration company Alooma in cloud push 
GOOGL,Alphabet Inc,20190214,14.3,UPDATE 3-Newer businesses drive Cisco's earnings beat; shares rise 
GOOGL,Alphabet Inc,20190213,-8.04,Apple ramps up self-driving program as Waymo says its tech improves 
GOOGL,Alphabet Inc,20190213,-8.04,Google to spend over $13 billion on U.S. data centers  offices 
