TWOU,20190404,LOWEST
ABMD,20190316,LOW
ACAD,20190404,LOWEST
ACIW,20190404,LOWEST
ATVI,20190316,LOW
ATVI,20190224,LOW
ADBE,20190222,LOW
AMD,20190314,LOW
AMD,20190222,LOW
AGIO,20190404,LOWEST
AGNC,20190404,LOWEST
AKAM,20190316,LOW
AKAM,20190224,LOW
ALXN,20190315,LOW
ALXN,20190223,LOW
ALGN,20190308,LOW
ALKS,20190404,LOWEST
LNT,20190404,LOWEST
ALLO,20190404,LOWEST
ALNY,20190316,LOW
ALNY,20190214,LOW
AABA,20190227,LOW
AMRN,20190226,LOW
DOX,20190404,LOWEST
AMED,20190404,LOWEST
UHAL,20190404,LOWEST
AMOV,20190404,LOWEST
AMGN,20190315,LOW
ADI,20190316,LOW
ANGI,20190404,LOWEST
ANSS,20190404,LOWEST
AMAT,20190316,LOW
AMAT,20190224,LOW
ACGL,20190404,LOWEST
ARCC,20190404,LOWEST
ARRY,20190404,LOWEST
ARRS,20190316,LOW
ARRS,20190224,LOW
ASND,20190404,LOWEST
ASML,20190316,LOW
ASML,20190224,LOW
ASML,20190204,LOW
AZPN,20190404,LOWEST
TEAM,20190404,LOWEST
ADSK,20190316,LOW
ADP,20190314,LOW
ADP,20190214,LOW
AVT,20190404,LOWEST
BIDU,20190316,LOW
BIDU,20190224,LOW
OZK,20190404,LOWEST
GOLD,20190404,LOWEST
BGNE,20190404,LOWEST
BMRN,20190316,LOW
TECH,20190404,LOWEST
BLKB,20190404,LOWEST
BLUE,20190309,LOW
BPMC,20190404,LOWEST
BOKF,20190404,LOWEST
BKNG,20190316,LOW
BKNG,20190208,LOW
BHF,20190404,LOWEST
AVGO,20190316,LOW
AVGO,20190224,LOW
AVGO,20190204,LOW
BPY,20190404,LOWEST
BPR,20190316,LOW
BRKR,20190404,LOWEST
CHRW,20190404,LOWEST
CDNS,20190404,LOWEST
CARG,20190404,LOWEST
CASY,20190404,LOWEST
CBOE,20190404,LOWEST
CDK,20190316,LOW
CDW,20190404,LOWEST
CERN,20190404,LOWEST
CHTR,20190227,LOW
CHTR,20190207,LOW
CHKP,20190316,LOW
CHKP,20190224,LOW
CBPO,20190404,LOWEST
CHDN,20190404,LOWEST
CINF,20190404,LOWEST
CTAS,20190404,LOWEST
CSCO,20190228,LOW
CTXS,20190316,LOW
CTXS,20190216,LOW
CME,20190404,LOWEST
CGNX,20190404,LOWEST
CTSH,20190316,LOW
CTSH,20190224,LOW
