20190204, ['KKR', 'HMC', 'TM'], 1038.9600000000012, 0.038960000000001216
20190205, ['C', 'AGN', 'NTR'], 684.2902248000016, -0.3413699999999991
20190206, ['AAPL', 'UNP', 'UAL'], 680.3966134208897, -0.005689999999999876
20190207, ['PRU', 'PM', 'NTR'], 739.2237046172601, 0.0864600000000003
20190208, ['BAM', 'BHGE', 'T'], 788.5225334781848, 0.06668999999999947
20190210, [], 788.5225334781848, 0.0
20190211, ['BEN', 'FCX', 'BA'], 495.72046112172774, -0.3713300000000034
20190212, ['MRK', 'PG', 'MO'], 633.3225467198971, 0.27758000000000044
20190213, ['DISH', 'SNP', 'NFLX'], 217.22963352492286, -0.6570000000000029
20190214, ['VZ', 'RBS', 'SNE'], 212.93717596647042, -0.01975999999999978
20190215, ['APO', 'ENB', 'LYG'], 215.54778574381942, 0.012260000000000335
20190219, ['GOOGL', 'F', 'HSBC'], 442.32561112488946, 1.052099999999989
20190220, ['VIV', 'PBR', 'HMC'], 434.08508498963283, -0.018629999999999928
20190221, ['FB', 'MRK', 'GS'], 267.227119170467, -0.384390000000002
20190222, ['BIIB', 'BUD', 'NKE'], 404.5444466274031, 0.5138599999999997
20190225, ['GE', 'NVS', 'DHR'], 349.3807658852897, -0.1363600000000018
20190226, ['VALE', 'BP', 'PKX'], 370.3436118384071, 0.06000000000000015
20190227, ['EQNR', 'CMCSA', 'LNG'], 428.8801231255863, 0.15806000000000148
20190228, ['AMZN', 'TSLA', 'JNJ'], 696.0724398328225, 0.6229999999999905
20190301, ['DELL', 'AAPL', 'PBR'], 659.1806005216827, -0.05300000000000028
20190303, [], 659.1806005216827, 0.0
20190304, ['ENB', 'NEE', 'KKR'], 642.7010855086418, -0.024999999999998225
20190305, ['MMC', 'TMUS', 'RBS'], 518.4091225821256, -0.19338999999999978
20190306, ['DLTR', 'LOGI', 'MSFT'], 625.7198109566253, 0.20699999999999935
20190307, ['XOM', 'PRU', 'GOOG'], -168.94434895829352, -1.2700000000000076
